"item_identifier","item_weight","item_fat_content","item_visibility","item_type","item_mrp","outlet_identifier","outlet_establishment_year","outlet_size","outlet_location_type","outlet_type","item_outlet_sales","outlet_age","price_category"
"FDA15",9.3,"low fat",0.016047301,"Dairy",249.8092,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3735.138,27,"Premium"
"DRC01",5.92,"regular",0.019278216,"Soft Drinks",48.2692,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",443.4228,17,"Low"
"FDN15",17.5,"low fat",0.016760075,"Meat",141.618,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2097.27,27,"High"
"FDX07",19.2,"regular",0.022934461,"Fruits and Vegetables",182.095,"OUT010",1998,"Unknown","Tier 3","Grocery Store",732.38,28,"High"
"NCD19",8.93,"low fat",0.013253936,"Household",53.8614,"OUT013",1987,"High","Tier 3","Supermarket Type1",994.7052,39,"Low"
"FDP36",10.395,"regular",0.091392321,"Baking Goods",51.4008,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",556.6088,17,"Low"
"FDO10",13.65,"regular",0.012741089,"Snack Foods",57.6588,"OUT013",1987,"High","Tier 3","Supermarket Type1",343.5528,39,"Low"
"FDP10",19,"low fat",0.127469857,"Snack Foods",107.7622,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4022.7636,41,"Medium"
"FDH17",16.2,"regular",0.016687114,"Frozen Foods",96.9726,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",1076.5986,24,"Medium"
"FDU28",19.2,"regular",0.09444959,"Frozen Foods",187.8214,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",4710.535,19,"High"
"FDY07",11.8,"low fat",0.121848436,"Fruits and Vegetables",45.5402,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1516.0266,27,"Low"
"FDA03",18.5,"regular",0.045463773,"Dairy",144.1102,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2187.153,29,"High"
"FDX32",15.1,"regular",0.1000135,"Fruits and Vegetables",145.4786,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1589.2646,27,"High"
"FDS46",17.6,"regular",0.047257328,"Snack Foods",119.6782,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2145.2076,29,"Medium"
"FDF32",16.35,"low fat",0.0680243,"Fruits and Vegetables",196.4426,"OUT013",1987,"High","Tier 3","Supermarket Type1",1977.426,39,"High"
"FDP49",9,"regular",0.069088961,"Breakfast",56.3614,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1547.3192,29,"Low"
"NCB42",11.8,"low fat",0.008596051,"Health and Hygiene",115.3492,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1621.8888,17,"Medium"
"FDP49",9,"regular",0.069196376,"Breakfast",54.3614,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",718.3982,27,"Low"
"DRI11",8.26,"low fat",0.034237682,"Hard Drinks",113.2834,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2303.668,41,"Medium"
"FDU02",13.35,"low fat",0.10249212,"Dairy",230.5352,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2748.4224,22,"Premium"
"FDN22",18.85,"regular",0.138190277,"Snack Foods",250.8724,"OUT013",1987,"High","Tier 3","Supermarket Type1",3775.086,39,"Premium"
"FDW12",8.315,"regular",0.035399923,"Baking Goods",144.5444,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4064.0432,41,"High"
"NCB30",14.6,"low fat",0.025698134,"Household",196.5084,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1587.2672,22,"High"
"FDC37",15.5,"low fat",0.057556998,"Baking Goods",107.6938,"OUT019",1985,"Small","Tier 1","Grocery Store",214.3876,41,"Medium"
"FDR28",13.85,"regular",0.025896485,"Frozen Foods",165.021,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4078.025,29,"High"
"NCD06",13,"low fat",0.099887103,"Household",45.906,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",838.908,19,"Low"
"FDV10",7.645,"regular",0.066693437,"Snack Foods",42.3112,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1065.28,22,"Low"
"DRJ59",11.65,"low fat",0.019356132,"Hard Drinks",39.1164,"OUT013",1987,"High","Tier 3","Supermarket Type1",308.9312,39,"Low"
"FDE51",5.925,"regular",0.161466534,"Dairy",45.5086,"OUT010",1998,"Unknown","Tier 3","Grocery Store",178.4344,28,"Low"
"FDC14",14.5,"regular",0.072221801,"Canned",43.6454,"OUT019",1985,"Small","Tier 1","Grocery Store",125.8362,41,"Low"
"FDV38",19.25,"low fat",0.170348551,"Dairy",55.7956,"OUT010",1998,"Unknown","Tier 3","Grocery Store",163.7868,28,"Low"
"NCS17",18.6,"low fat",0.080829372,"Health and Hygiene",96.4436,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2741.7644,17,"Medium"
"FDP33",18.7,"low fat",0.089272253,"Snack Foods",256.6672,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3068.0064,17,"Premium"
"FDO23",17.85,"low fat",0.1467117485,"Breads",93.1436,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",2174.5028,24,"Medium"
"DRH01",17.5,"low fat",0.097904029,"Soft Drinks",174.8738,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2085.2856,29,"High"
"NCX29",10,"low fat",0.089291137,"Health and Hygiene",146.7102,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3791.0652,27,"High"
"FDV20",20.2,"regular",0.059511812,"Fruits and Vegetables",128.0678,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2797.6916,41,"Medium"
"DRZ11",8.85,"regular",0.113123893,"Soft Drinks",122.5388,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1609.9044,17,"Medium"
"FDX10",6.385,"regular",0.123111453,"Snack Foods",36.9874,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",388.1614,41,"Low"
"FDB34",15.25,"low fat",0.026480954,"Snack Foods",87.6198,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2180.495,41,"Medium"
"FDU02",13.35,"low fat",0.102511504,"Dairy",230.6352,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3435.528,29,"Premium"
"FDK43",9.8,"low fat",0.02681843,"Meat",126.002,"OUT013",1987,"High","Tier 3","Supermarket Type1",2150.534,39,"Medium"
"FDA46",13.6,"low fat",0.117818348,"Snack Foods",192.9136,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2527.3768,27,"High"
"FDC02",21.35,"low fat",0.069102831,"Canned",259.9278,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",6768.5228,17,"Premium"
"FDL50",12.15,"regular",0.042277867,"Canned",126.5046,"OUT013",1987,"High","Tier 3","Supermarket Type1",373.5138,39,"Medium"
"FDM39",6.42,"low fat",0.089498926,"Dairy",178.1002,"OUT010",1998,"Unknown","Tier 3","Grocery Store",358.2004,28,"High"
"NCP05",19.6,"low fat",0.02530624,"Health and Hygiene",153.3024,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",2428.8384,24,"High"
"FDV49",10,"low fat",0.025879577,"Canned",265.2226,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",5815.0972,24,"Premium"
"FDL12",15.85,"regular",0.121632721,"Baking Goods",60.622,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2576.646,29,"Low"
"FDS02",10.195,"regular",0.255394896,"Dairy",196.8794,"OUT019",1985,"Small","Tier 1","Grocery Store",780.3176,41,"High"
"NCL17",7.39,"low fat",0.067779712,"Health and Hygiene",143.8812,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3134.5864,29,"High"
"FDM40",10.195,"low fat",0.159803853,"Frozen Foods",141.5154,"OUT013",1987,"High","Tier 3","Supermarket Type1",850.8924,39,"High"
"FDR13",9.895,"regular",0.028696932,"Canned",117.0492,"OUT013",1987,"High","Tier 3","Supermarket Type1",810.9444,39,"Medium"
"FDA43",10.895,"low fat",0.065041581,"Fruits and Vegetables",196.3794,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",3121.2704,19,"High"
"NCP18",12.15,"low fat",0.028760013,"Household",151.4708,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",4815.0656,19,"High"
"FDK21",7.905,"low fat",0.010053105,"Snack Foods",249.0408,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",6258.52,17,"Premium"
"NCX54",9.195,"low fat",0.048157338,"Household",106.1622,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",2117.244,24,"Medium"
"DRK35",8.365,"low fat",0.071958197,"Hard Drinks",38.0506,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",796.9626,27,"Low"
"FDY21",15.1,"low fat",0.173481304,"Snack Foods",194.511,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4910.275,29,"High"
"FDI26",5.94,"low fat",0.061082177,"Canned",180.0344,"OUT019",1985,"Small","Tier 1","Grocery Store",892.172,41,"High"
"FDM20",10,"low fat",0.038685802,"Fruits and Vegetables",246.9144,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3185.1872,17,"Premium"
"FDV27",7.97,"regular",0.040071131,"Meat",87.3514,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",1062.6168,24,"Medium"
"FDF09",6.215,"low fat",0.012090074,"Fruits and Vegetables",38.2848,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",484.7024,41,"Low"
"FDY40",15.5,"regular",0.15028599,"Frozen Foods",51.0692,"OUT019",1985,"Small","Tier 1","Grocery Store",147.8076,41,"Low"
"FDY45",17.5,"low fat",0.026015519,"Snack Foods",255.8356,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2543.356,41,"Premium"
"FDC46",17.7,"low fat",0.195068226,"Snack Foods",185.4266,"OUT010",1998,"Unknown","Tier 3","Grocery Store",184.4266,28,"High"
"FDH19",19.35,"low fat",0.033082215,"Meat",172.5738,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4865.6664,22,"High"
"FDZ03",13.65,"regular",0.078946455,"Dairy",186.024,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",1118.544,24,"High"
"DRH37",17.6,"low fat",0.041700756,"Soft Drinks",164.8526,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",2302.3364,24,"High"
"NCI17",8.645,"low fat",0.143422643,"Health and Hygiene",95.841,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2027.361,29,"Medium"
"FDJ58",15.6,"regular",0.105296072,"Snack Foods",170.1764,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3435.528,29,"High"
"FDL12",15.85,"regular",0.121531501,"Baking Goods",59.222,"OUT013",1987,"High","Tier 3","Supermarket Type1",599.22,39,"Low"
"FDH35",18.25,"low fat",0.060342304,"Starchy Foods",164.7526,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",4604.6728,24,"High"
"FDG02",7.855,"low fat",0.011324862,"Canned",189.6188,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",2285.0256,19,"High"
"NCZ18",7.825,"low fat",0.186357148,"Household",254.3698,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5580.7356,27,"Premium"
"FDC29",8.39,"regular",0.024205661,"Frozen Foods",114.0176,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2290.352,29,"Medium"
"FDQ10",12.85,"low fat",0.033230816,"Snack Foods",172.3422,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1207.0954,27,"High"
"FDN48",13.35,"low fat",0.113720344,"Baking Goods",89.9804,"OUT019",1985,"Small","Tier 1","Grocery Store",643.1628,41,"Medium"
"FDL04",19,"low fat",0.112556507,"Frozen Foods",104.9622,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",1587.933,19,"Medium"
"FDV25",5.905,"low fat",0.0457807155,"Canned",222.5456,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",5305.0944,24,"Premium"
"FDD58",7.76,"low fat",0.059352241,"Snack Foods",101.87,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1697.79,29,"Medium"
"FDN04",11.8,"regular",0.014087057,"Frozen Foods",180.3344,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1427.4752,29,"High"
"FDV45",16.75,"low fat",0.045230944,"Snack Foods",187.9556,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",4693.89,17,"High"
"NCL18",18.85,"low fat",0.293417759,"Household",194.6136,"OUT019",1985,"Small","Tier 1","Grocery Store",583.2408,41,"High"
"FDR12",12.6,"regular",0.031382044,"Baking Goods",171.3764,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3091.9752,41,"High"
"FDG20",15.5,"regular",0.12639886,"Fruits and Vegetables",177.0028,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",2479.4392,19,"High"
"FDZ55",6.055,"low fat",0.025403898,"Fruits and Vegetables",160.992,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2716.464,22,"High"
"FDQ49",20.2,"regular",0.039057677,"Breakfast",155.963,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3285.723,41,"High"
"FDN33",6.305,"regular",0.123115764,"Snack Foods",95.6436,"OUT046",1997,"Small","Tier 1","Supermarket Type1",661.8052,29,"Medium"
"FDN27",20.85,"low fat",0.039624006,"Meat",117.2808,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1523.3504,27,"Medium"
"FDW20",20.75,"low fat",0.040421193,"Fruits and Vegetables",122.173,"OUT010",1998,"Unknown","Tier 3","Grocery Store",369.519,28,"Medium"
"DRG27",8.895,"low fat",0.105274111,"Dairy",39.9138,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",690.4346,27,"Low"
"DRI25",19.6,"low fat",0.033970195,"Soft Drinks",55.1614,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",1381.535,24,"Low"
"FDA44",19.7,"low fat",0.053212652,"Fruits and Vegetables",57.893,"OUT035",2004,"Small","Tier 2","Supermarket Type1",622.523,22,"Low"
"NCR17",9.8,"low fat",0.024378706,"Health and Hygiene",114.5492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1274.3412,22,"Medium"
"FDU04",7.93,"low fat",0.009714595,"Frozen Foods",120.0414,"OUT019",1985,"Small","Tier 1","Grocery Store",487.3656,41,"Medium"
"FDF41",12.15,"low fat",0.131383762,"Frozen Foods",246.046,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1231.73,27,"Premium"
"FDB56",8.75,"regular",0.07461309,"Fruits and Vegetables",187.4556,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3755.112,22,"High"
"NCP18",12.15,"low fat",0.028459761,"Household",149.9708,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4363.6532,41,"High"
"FDB56",8.75,"regular",0.074627201,"Fruits and Vegetables",187.8556,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1314.2892,29,"High"
"FDT28",13.3,"low fat",0.063695084,"Frozen Foods",151.0708,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",1805.6496,24,"High"
"FDD10",20.6,"regular",0.045797829,"Snack Foods",178.5344,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2854.9504,41,"High"
"FDW57",8.31,"regular",0.115857223,"Snack Foods",179.1028,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3896.2616,27,"High"
"DRB48",16.75,"regular",0.024832806,"Soft Drinks",38.7822,"OUT013",1987,"High","Tier 3","Supermarket Type1",667.7974,39,"Low"
"FDP09",19.75,"low fat",0.034027909,"Snack Foods",212.0902,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3185.853,17,"Premium"
"FDH14",17.1,"regular",0.0467696,"Canned",141.1838,"OUT013",1987,"High","Tier 3","Supermarket Type1",2247.7408,39,"High"
"FDA47",10.5,"regular",0.116576702,"Baking Goods",163.121,"OUT013",1987,"High","Tier 3","Supermarket Type1",1794.331,39,"High"
"FDG12",6.635,"regular",0.006343909,"Baking Goods",121.3098,"OUT045",2002,"Unknown","Tier 2","Supermarket Type1",2530.7058,24,"Medium"
"DRE60",9.395,"low fat",0.278974075,"Soft Drinks",225.372,"OUT019",1985,"Small","Tier 1","Grocery Store",679.116,41,"Premium"
"DRK49",14.15,"low fat",0.035913805,"Soft Drinks",41.4138,"OUT013",1987,"High","Tier 3","Supermarket Type1",812.276,39,"Low"
"FDD03",13.3,"low fat",0.079806266,"Dairy",232.53,"OUT046",1997,"Small","Tier 1","Supermarket Type1",699.09,29,"Premium"
"FDS52",8.89,"low fat",0.005505481,"Frozen Foods",102.4016,"OUT017",2007,"Unknown","Tier 2","Supermarket Type1",2732.4432,19,"Medium"
"FDW39",6.69,"regular",0.064625342,"Meat",176.937,"OUT019",1985,"Small","Tier 1","Grocery Store",176.437,41,"High"
"FDX34",6.195,"low fat",0.071636937,"Snack Foods",121.7098,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4097.3332,41,"Medium"
